record_id,model_score,recommended_action,decision_rationale,expected_cost_gbp
REC_00001,0.563292,A1,Failure probability (0.5633) exceeds cost-optimal threshold (0.419); potential developing fault; schedule inspection,291.65
REC_00002,0.000828,A0,Low failure probability (0.0008 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,0.41
REC_00003,0.041568,A0,Low failure probability (0.0416 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,20.78
REC_00004,0.031569,A0,Low failure probability (0.0316 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,15.78
REC_00005,0.139761,A0,Low failure probability (0.1398 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,69.88
REC_00006,0.672515,A1,Failure probability (0.6725) exceeds cost-optimal threshold (0.419); potential developing fault; schedule inspection,346.26
REC_00007,0.013791,A0,Low failure probability (0.0138 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,6.9
REC_00008,0.869742,A2,High failure probability (0.8697 >= 0.75); expected non-action cost £435 >> inspection cost £10; immediate safety escalation required,444.87
REC_00009,0.308106,A0,Low failure probability (0.3081 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,154.05
REC_00010,0.029724,A0,Low failure probability (0.0297 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,14.86
REC_00011,0.012247,A0,Low failure probability (0.0122 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,6.12
REC_00012,0.027601,A0,Low failure probability (0.0276 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,13.8
REC_00013,0.010043,A0,Low failure probability (0.0100 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,5.02
REC_00014,0.052823,A0,Low failure probability (0.0528 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,26.41
REC_00015,0.485665,A1,Failure probability (0.4857) exceeds cost-optimal threshold (0.419); potential developing fault; schedule inspection,252.83
REC_00016,0.053156,A0,Low failure probability (0.0532 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,26.58
REC_00017,0.018784,A0,Low failure probability (0.0188 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,9.39
REC_00018,0.149701,A0,Low failure probability (0.1497 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,74.85
REC_00019,0.932908,A2,High failure probability (0.9329 >= 0.75); expected non-action cost £466 >> inspection cost £10; immediate safety escalation required,476.45
REC_00020,0.967244,A2,High failure probability (0.9672 >= 0.75); expected non-action cost £484 >> inspection cost £10; immediate safety escalation required,493.62
REC_00021,0.249153,A0,Low failure probability (0.2492 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,124.58
REC_00022,0.049937,A0,Low failure probability (0.0499 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,24.97
REC_00023,0.146729,A0,Low failure probability (0.1467 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,73.36
REC_00024,0.00324,A0,Low failure probability (0.0032 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,1.62
REC_00025,0.236423,A0,Low failure probability (0.2364 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,118.21
REC_00026,0.758038,A2,High failure probability (0.7580 >= 0.75); expected non-action cost £379 >> inspection cost £10; immediate safety escalation required,389.02
REC_00027,0.072945,A0,Low failure probability (0.0729 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,36.47
REC_00028,0.013503,A0,Low failure probability (0.0135 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,6.75
REC_00029,0.05728,A0,Low failure probability (0.0573 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,28.64
REC_00030,0.034287,A0,Low failure probability (0.0343 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,17.14
REC_00031,0.002045,A0,Low failure probability (0.0020 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,1.02
REC_00032,0.144751,A0,Low failure probability (0.1448 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,72.38
REC_00033,0.022771,A0,Low failure probability (0.0228 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,11.39
REC_00034,0.004174,A0,Low failure probability (0.0042 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,2.09
REC_00035,0.086446,A0,Low failure probability (0.0864 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,43.22
REC_00036,0.094757,A0,Low failure probability (0.0948 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,47.38
REC_00037,0.028588,A0,Low failure probability (0.0286 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,14.29
REC_00038,0.000894,A0,Low failure probability (0.0009 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,0.45
REC_00039,0.01137,A0,Low failure probability (0.0114 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,5.68
REC_00040,0.676187,A1,Failure probability (0.6762) exceeds cost-optimal threshold (0.419); potential developing fault; schedule inspection,348.09
REC_00041,0.022714,A0,Low failure probability (0.0227 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,11.36
REC_00042,0.004415,A0,Low failure probability (0.0044 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,2.21
REC_00043,0.020062,A0,Low failure probability (0.0201 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,10.03
REC_00044,0.048998,A0,Low failure probability (0.0490 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,24.5
REC_00045,0.015645,A0,Low failure probability (0.0156 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,7.82
REC_00046,0.004218,A0,Low failure probability (0.0042 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,2.11
REC_00047,0.00405,A0,Low failure probability (0.0041 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,2.03
REC_00048,0.032567,A0,Low failure probability (0.0326 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,16.28
REC_00049,0.002741,A0,Low failure probability (0.0027 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,1.37
REC_00050,0.002369,A0,Low failure probability (0.0024 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,1.18
REC_00051,0.956038,A2,High failure probability (0.9560 >= 0.75); expected non-action cost £478 >> inspection cost £10; immediate safety escalation required,488.02
REC_00052,0.00262,A0,Low failure probability (0.0026 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,1.31
REC_00053,0.000663,A0,Low failure probability (0.0007 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,0.33
REC_00054,0.013257,A0,Low failure probability (0.0133 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,6.63
REC_00055,0.025861,A0,Low failure probability (0.0259 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,12.93
REC_00056,0.008219,A0,Low failure probability (0.0082 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,4.11
REC_00057,0.003212,A0,Low failure probability (0.0032 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,1.61
REC_00058,0.062958,A0,Low failure probability (0.0630 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,31.48
REC_00059,0.163196,A0,Low failure probability (0.1632 < 0.419); below cost-optimal threshold; normal operating state — continue monitoring,81.6
